received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2023-03-28T03:02:05.535911405Z	mi-nodo-lorawan	heltec-caudalimetro	1	4195	-108	-15.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:03:11.922356218Z	mi-nodo-lorawan	heltec-caudalimetro	1	4196	-112	-13.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:10:31.539885037Z	mi-nodo-lorawan	heltec-caudalimetro	1	4202	-108	-15	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:12:58.060940794Z	mi-nodo-lorawan	heltec-caudalimetro	1	4204	-109	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:17:58.006264767Z	mi-nodo-lorawan	heltec-caudalimetro	1	4208	-110	-12.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:19:04.386010679Z	mi-nodo-lorawan	heltec-caudalimetro	1	4209	-108	-16.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:24:04.326379885Z	mi-nodo-lorawan	heltec-caudalimetro	1	4213	-110	-13.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:27:37.261614228Z	mi-nodo-lorawan	heltec-caudalimetro	1	4216	-108	-16.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:28:50.539624597Z	mi-nodo-lorawan	heltec-caudalimetro	1	4217	-112	-12	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:31:17.058646824Z	mi-nodo-lorawan	heltec-caudalimetro	1	4219	-110	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:32:30.330922611Z	mi-nodo-lorawan	heltec-caudalimetro	1	4220	-110	-15.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:37:23.390511866Z	mi-nodo-lorawan	heltec-caudalimetro	1	4224	-110	-14.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:38:36.655202823Z	mi-nodo-lorawan	heltec-caudalimetro	1	4225	-110	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:39:49.920372688Z	mi-nodo-lorawan	heltec-caudalimetro	1	4226	-110	-15.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:41:03.197055498Z	mi-nodo-lorawan	heltec-caudalimetro	1	4227	-112	-14.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:44:42.989005853Z	mi-nodo-lorawan	heltec-caudalimetro	1	4230	-112	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:47:09.527905454Z	mi-nodo-lorawan	heltec-caudalimetro	1	4232	-112	-12.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:50:49.325302422Z	mi-nodo-lorawan	heltec-caudalimetro	1	4235	-110	-14.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:54:36.009305856Z	mi-nodo-lorawan	heltec-caudalimetro	1	4238	-110	-14.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:55:42.400095229Z	mi-nodo-lorawan	heltec-caudalimetro	1	4239	-112	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T03:59:22.187017743Z	mi-nodo-lorawan	heltec-caudalimetro	1	4242	-110	-13.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:00:42.349399600Z	mi-nodo-lorawan	heltec-caudalimetro	1	4243	-112	-13.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:03:01.998298752Z	mi-nodo-lorawan	heltec-caudalimetro	1	4245	-108	-16	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:04:15.253700158Z	mi-nodo-lorawan	heltec-caudalimetro	1	4246	-110	-12.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:05:28.536915030Z	mi-nodo-lorawan	heltec-caudalimetro	1	4247	-110	-12.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:08:01.952396049Z	mi-nodo-lorawan	heltec-caudalimetro	1	4249	-110	-15	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:15:21.534547418Z	mi-nodo-lorawan	heltec-caudalimetro	1	4255	-112	-11.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:16:27.929546554Z	mi-nodo-lorawan	heltec-caudalimetro	1	4256	-112	-15.75	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:21:27.870618809Z	mi-nodo-lorawan	heltec-caudalimetro	1	4260	-112	-13	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:25:07.676982423Z	mi-nodo-lorawan	heltec-caudalimetro	1	4263	-110	-12.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:28:47.460585304Z	mi-nodo-lorawan	heltec-caudalimetro	1	4266	-110	-14	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:31:07.131576433Z	mi-nodo-lorawan	heltec-caudalimetro	1	4268	-112	-11.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:33:33.665566069Z	mi-nodo-lorawan	heltec-caudalimetro	1	4270	-108	-15.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:38:26.738033772Z	mi-nodo-lorawan	heltec-caudalimetro	1	4274	-110	-13.5	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:39:46.876930527Z	mi-nodo-lorawan	heltec-caudalimetro	1	4275	-112	-11.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:42:13.405601582Z	mi-nodo-lorawan	heltec-caudalimetro	1	4277	-111	-14.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:45:46.339582756Z	mi-nodo-lorawan	heltec-caudalimetro	1	4280	-110	-16	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:48:12.856998427Z	mi-nodo-lorawan	heltec-caudalimetro	1	4282	-112	-12	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
2023-03-28T04:50:46.282735528Z	mi-nodo-lorawan	heltec-caudalimetro	1	4284	-112	-15.25	-	0.329728s	Gi8pRw==	{'L': '43311.102'}
